# x g ann dg ann_dg ddg ann_ddg ann_antiderivative
-1 0.353227 0.35181 0.192498 0.239756 -10.18 -10.7505 0
-0.995 0.354061 0.352874 0.141044 0.185484 -10.4004 -10.9574 0.00176182
-0.99 0.354636 0.353663 0.0885032 0.130193 -10.615 -11.1583 0.00352828
-0.985 0.354944 0.354174 0.0349044 0.0739121 -10.8235 -11.3528 0.00529799
-0.98 0.354983 0.354401 -0.0197209 0.0166751 -11.0255 -11.5409 0.00706955
-0.975 0.354746 0.354339 -0.0753398 -0.0414849 -11.2209 -11.722 0.00884152
-0.97 0.354228 0.353985 -0.131918 -0.100533 -11.4092 -11.8959 0.0106125
-0.965 0.353425 0.353332 -0.189419 -0.160432 -11.5901 -12.0624 0.0123809
-0.96 0.352332 0.352379 -0.247806 -0.221144 -11.7634 -12.2211 0.0141453
-0.955 0.350945 0.35112 -0.30704 -0.282629 -11.9287 -12.3718 0.0159041
-0.95 0.34926 0.349551 -0.367079 -0.344848 -12.0858 -12.5142 0.017656
-0.945 0.347273 0.34767 -0.427883 -0.407757 -12.2343 -12.6479 0.0193991
-0.94 0.34498 0.345473 -0.489407 -0.471312 -12.3739 -12.7728 0.0211321
-0.935 0.342378 0.342956 -0.551607 -0.535469 -12.5045 -12.8885 0.0228533
-0.93 0.339463 0.340117 -0.614437 -0.600182 -12.6256 -12.9949 0.0245612
-0.925 0.336233 0.336953 -0.677847 -0.665402 -12.7371 -13.0916 0.026254
-0.92 0.332684 0.333462 -0.741791 -0.731081 -12.8386 -13.1783 0.0279301
-0.915 0.328814 0.329642 -0.806216 -0.797169 -12.9299 -13.2549 0.029588
-0.91 0.324621 0.32549 -0.871072 -0.863613 -13.0107 -13.3211 0.031226
-0.905 0.320103 0.321005 -0.936306 -0.930362 -13.0809 -13.3767 0.0328424
-0.9 0.315257 0.316186 -1.00186 -0.997362 -13.1401 -13.4215 0.0344355
-0.895 0.310084 0.311031 -1.06769 -1.06456 -13.1881 -13.4552 0.0360037
-0.89 0.30458 0.30554 -1.13373 -1.1319 -13.2248 -13.4776 0.0375453
-0.885 0.298746 0.299712 -1.19992 -1.19932 -13.2498 -13.4885 0.0390585
-0.88 0.292581 0.293547 -1.2662 -1.26676 -13.263 -13.4878 0.0405418
-0.875 0.286084 0.287045 -1.33253 -1.33417 -13.2642 -13.4753 0.0419934
-0.87 0.279256 0.280205 -1.39883 -1.40149 -13.2533 -13.4507 0.0434117
-0.865 0.272096 0.27303 -1.46504 -1.46866 -13.23 -13.414 0.0447949
