# x  g(x)  F_p(x)  F_p'(x)  F_p''(x)  antideriv(x)
-1  0.353227  0.365595  -0.752123  5.08885  0.0918819
-0.995  0.354061  0.361904  -0.722881  6.56293  0.0937006
-0.99  0.354636  0.358377  -0.686972  7.75063  0.0955012
-0.985  0.354944  0.355043  -0.645897  8.6252  0.0972847
-0.98  0.354983  0.351924  -0.601276  9.16621  0.099052
-0.975  0.354746  0.349034  -0.554813  9.3602  0.100804
-0.97  0.354228  0.346376  -0.508263  9.20117  0.102543
-0.965  0.353425  0.343948  -0.463388  8.69082  0.104268
-0.96  0.352332  0.341737  -0.421925  7.83866  0.105983
-0.955  0.350945  0.33972  -0.385543  6.66184  0.107686
-0.95  0.34926  0.33787  -0.355807  5.18489  0.10938
-0.945  0.347273  0.336149  -0.334142  3.43911  0.111065
-0.94  0.34498  0.334513  -0.321802  1.46189  0.112742
-0.935  0.342378  0.332914  -0.319838  -0.704179  0.11441
-0.93  0.339463  0.331296  -0.32908  -3.01236  0.116071
-0.925  0.336233  0.329603  -0.350116  -5.4129  0.117723
-0.92  0.332684  0.327775  -0.383278  -7.8543  0.119367
-0.915  0.328814  0.32575  -0.42864  -10.2846  0.121
-0.91  0.324621  0.323468  -0.486019  -12.6525  0.122624
-0.905  0.320103  0.32087  -0.554979  -14.909  0.124235
-0.9  0.315257  0.3179  -0.634846  -17.0081  0.125832
-0.895  0.310084  0.314505  -0.724728  -18.9084  0.127413
-0.89  0.30458  0.310638  -0.823538  -20.5737  0.128976
-0.885  0.298746  0.306257  -0.930023  -21.974  0.130518
-0.88  0.292581  0.301327  -1.0428  -23.0858  0.132038
-0.875  0.286084  0.295821  -1.16037  -23.8932  0.133531
-0.87  0.279256  0.289718  -1.28121  -24.3875  0.134995
-0.865  0.272096  0.283006  -1.40372  -24.5673  0.136427
-0.86  0.264606  0.275681  -1.52637  -24.4388  0.137824
-0.855  0.256785  0.267745  -1.64762  -24.0148  0.139183
-0.85  0.248636  0.259209  -1.76605  -23.3146  0.1405
-0.845  0.24016  0.250091  -1.88035  -22.3632  0.141774
-0.84  0.231359  0.240415  -1.98932  -21.1903  0.143
-0.835  0.222235  0.230209  -2.09194  -19.8297  0.144177
-0.83  0.21279  0.219507  -2.18736  -18.318  0.145302
-0.825  0.203028  0.208348  -2.27493  -16.6936  0.146371
-0.82  0.192951  0.196772  -2.35417  -14.9961  0.147384
-0.815  0.182563  0.184821  -2.42483  -13.2647  0.148339
-0.81  0.171868  0.172538  -2.48683  -11.5374  0.149232
-0.805  0.16087  0.159967  -2.54027  -9.85042  0.150063
-0.8  0.149573  0.147149  -2.58546  -8.23709  0.150831
-0.795  0.137983  0.134125  -2.62282  -6.72727  0.151535
-0.79  0.126104  0.120933  -2.65294  -5.34679  0.152172
-0.785  0.113943  0.107607  -2.67654  -4.11704  0.152744
-0.78  0.101504  0.0941772  -2.69439  -3.05467  0.153248
-0.775  0.0887945  0.0806709  -2.70738  -2.17148  0.153685
-0.77  0.0758208  0.06711  -2.71642  -1.47435  0.154055
-0.765  0.0625897  0.0535118  -2.72244  -0.965403  0.154356
-0.76  0.0491083  0.039889  -2.72638  -0.642174  0.15459
-0.755  0.0353841  0.0262499  -2.72916  -0.497972  0.154755
-0.75  0.0214251  0.0125979  -2.73164  -0.522256  0.154852
-0.745  0.00723926  -0.0010674  -2.73464  -0.701107  0.154881
-0.74  -0.00716481  -0.0147506  -2.73888  -1.01775  0.154842
-0.735  -0.0217784  -0.0284594  -2.74502  -1.45308  0.154734
-0.73  -0.0365924  -0.0422048  -2.75358  -1.98628  0.154557
-0.725  -0.0515974  -0.056  -2.76501  -2.59529  0.154311
-0.72  -0.0667838  -0.0698601  -2.77962  -3.25746  0.153997
-0.715  -0.0821415  -0.0838018  -2.79763  -3.95  0.153613
-0.71  -0.0976604  -0.0978423  -2.81913  -4.6505  0.153159
-0.705  -0.11333  -0.111999  -2.84411  -5.33735  0.152634
-0.7  -0.129139  -0.126289  -2.87245  -5.99014  0.152038
-0.695  -0.145077  -0.140729  -2.90393  -6.58999  0.151371
-0.69  -0.161132  -0.155333  -2.93823  -7.11985  0.150631
-0.685  -0.177294  -0.170115  -2.97498  -7.56465  0.149817
-0.68  -0.193549  -0.185086  -3.01372  -7.91152  0.148929
-0.675  -0.209887  -0.200255  -3.05392  -8.14988  0.147966
-0.67  -0.226294  -0.215627  -3.09502  -8.27145  0.146927
-0.665  -0.242758  -0.231205  -3.13643  -8.27029  0.14581
-0.66  -0.259268  -0.24699  -3.17751  -8.14274  0.144614
-0.655  -0.275809  -0.262979  -3.21764  -7.88735  0.143339
-0.65  -0.292369  -0.279164  -3.25617  -7.50473  0.141984
-0.645  -0.308934  -0.295537  -3.29248  -6.99747  0.140547
-0.64  -0.325492  -0.312084  -3.32595  -6.36991  0.139028
-0.635  -0.342028  -0.328791  -3.35599  -5.628  0.137426
-0.63  -0.35853  -0.345638  -3.38205  -4.77913  0.13574
-0.625  -0.374983  -0.362604  -3.40362  -3.83186  0.13397
-0.62  -0.391374  -0.379665  -3.42022  -2.7958  0.132114
-0.615  -0.407688  -0.396797  -3.43144  -1.68137  0.130173
-0.61  -0.423912  -0.41397  -3.43692  -0.499603  0.128146
-0.605  -0.440031  -0.431156  -3.43635  0.738027  0.126033
-0.6  -0.456032  -0.448323  -3.42947  2.01979  0.123834
-0.595  -0.471899  -0.46544  -3.41609  3.33386  0.12155
-0.59  -0.487619  -0.482473  -3.39609  4.66851  0.11918
-0.585  -0.503178  -0.49939  -3.36939  6.01218  0.116726
-0.58  -0.518561  -0.516156  -3.33598  7.35369  0.114187
-0.575  -0.533753  -0.532738  -3.29588  8.68232  0.111564
-0.57  -0.548741  -0.549104  -3.24919  9.98789  0.10886
-0.565  -0.563511  -0.565219  -3.19605  11.2609  0.106074
-0.56  -0.578048  -0.581054  -3.13665  12.4926  0.103208
-0.555  -0.592338  -0.596576  -3.07121  13.6749  0.100264
-0.55  -0.606368  -0.611756  -3  14.8007  0.0972426
-0.545  -0.620122  -0.626567  -2.92331  15.8638  0.0941467
-0.54  -0.633588  -0.640981  -2.84147  16.8588  0.0909776
-0.535  -0.646751  -0.654973  -2.75484  17.7812  0.0877376
-0.53  -0.659599  -0.668522  -2.66379  18.6275  0.0844286
-0.525  -0.672117  -0.681605  -2.5687  19.3952  0.0810531
-0.52  -0.684293  -0.694203  -2.46997  20.0824  0.0776134
-0.515  -0.696113  -0.706299  -2.36801  20.6885  0.0741119
-0.51  -0.707565  -0.717878  -2.26322  21.2135  0.0705513
-0.505  -0.718636  -0.728927  -2.15601  21.6581  0.066934
-0.5  -0.729313  -0.739435  -2.04677  22.024  0.0632629
-0.495  -0.739585  -0.749392  -1.93589  22.3136  0.0595406
-0.49  -0.749438  -0.758792  -1.82376  22.5298  0.0557699
-0.485  -0.758863  -0.767628  -1.71071  22.6763  0.0519536
-0.48  -0.767846  -0.775898  -1.5971  22.7571  0.0480946
-0.475  -0.776378  -0.783599  -1.48324  22.7769  0.0441956
-0.47  -0.784447  -0.79073  -1.36943  22.7407  0.0402595
-0.465  -0.792043  -0.797294  -1.25592  22.6538  0.0362892
-0.46  -0.799156  -0.80329  -1.14296  22.522  0.0322876
-0.455  -0.805775  -0.808724  -1.03077  22.3509  0.0282573
-0.45  -0.811892  -0.8136  -0.919511  22.1467  0.0242012
-0.445  -0.817498  -0.817921  -0.809346  21.9152  0.0201222
-0.44  -0.822582  -0.821695  -0.700394  21.6624  0.0160229
-0.435  -0.827138  -0.824927  -0.592747  21.3945  0.0119062
-0.43  -0.831158  -0.827625  -0.486466  21.117  0.00777456
-0.425  -0.834633  -0.829794  -0.381583  20.8357  0.00363079
-0.42  -0.837558  -0.831443  -0.278106  20.5559  -0.000522521
-0.415  -0.839924  -0.832578  -0.176014  20.2826  -0.00468279
-0.41  -0.841726  -0.833205  -0.0752612  20.0207  -0.00884745
-0.405  -0.842959  -0.833333  0.0242196  19.7745  -0.013014
-0.4  -0.843616  -0.832965  0.122517  19.5479  -0.01718
-0.395  -0.843693  -0.832109  0.219737  19.3444  -0.0213428
-0.39  -0.843186  -0.830769  0.316004  19.167  -0.0255002
-0.385  -0.842091  -0.828951  0.411455  19.0182  -0.0296497
-0.38  -0.840405  -0.826656  0.506238  18.9001  -0.033789
-0.375  -0.838123  -0.823889  0.600509  18.814  -0.0379155
-0.37  -0.835245  -0.820652  0.694433  18.761  -0.0420271
-0.365  -0.831769  -0.816945  0.788175  18.7415  -0.0461212
-0.36  -0.827692  -0.81277  0.881904  18.7554  -0.0501957
-0.355  -0.823015  -0.808126  0.975784  18.802  -0.0542482
-0.35  -0.817736  -0.803011  1.06998  18.8803  -0.0582762
-0.345  -0.811856  -0.797425  1.16464  18.9888  -0.0622775
-0.34  -0.805376  -0.791364  1.25991  19.1253  -0.0662497
-0.335  -0.798297  -0.784825  1.35593  19.2875  -0.0701903
-0.33  -0.790621  -0.777803  1.45282  19.4725  -0.0740971
-0.325  -0.78235  -0.770295  1.55069  19.6771  -0.0779676
-0.32  -0.773486  -0.762295  1.64962  19.8977  -0.0817992
-0.315  -0.764035  -0.753797  1.74969  20.1305  -0.0855897
-0.31  -0.753998  -0.744796  1.85094  20.3715  -0.0893364
-0.305  -0.743382  -0.735285  1.95341  20.6164  -0.0930368
-0.3  -0.73219  -0.72526  2.0571  20.8608  -0.0966884
-0.295  -0.720429  -0.714712  2.16201  21.1001  -0.100289
-0.29  -0.708104  -0.703638  2.26809  21.3297  -0.103835
-0.285  -0.695222  -0.69203  2.37528  21.545  -0.107324
-0.28  -0.68179  -0.679883  2.48351  21.7412  -0.110754
-0.275  -0.667816  -0.667193  2.59266  21.9139  -0.114122
-0.27  -0.653308  -0.653955  2.7026  22.0585  -0.117425
-0.265  -0.638274  -0.640166  2.81319  22.1708  -0.120661
-0.26  -0.622724  -0.625822  2.92425  22.2464  -0.123826
-0.255  -0.606668  -0.610923  3.03558  22.2816  -0.126918
-0.25  -0.590115  -0.595466  3.14699  22.2726  -0.129934
-0.245  -0.573075  -0.579453  3.25823  22.2159  -0.132872
-0.24  -0.555561  -0.562885  3.36906  22.1085  -0.135728
-0.235  -0.537584  -0.545764  3.47923  21.9477  -0.1385
-0.23  -0.519155  -0.528094  3.58845  21.7309  -0.141184
-0.225  -0.500287  -0.509881  3.69644  21.4562  -0.14378
-0.22  -0.480993  -0.491132  3.80291  21.122  -0.146282
-0.215  -0.461287  -0.471855  3.90756  20.727  -0.14869
-0.21  -0.441181  -0.45206  4.01008  20.2706  -0.151
-0.205  -0.420691  -0.431759  4.11016  19.7522  -0.15321
-0.2  -0.399829  -0.410963  4.2075  19.172  -0.155317
-0.195  -0.378613  -0.389689  4.30178  18.5306  -0.157319
-0.19  -0.357056  -0.367951  4.3927  17.8288  -0.159213
-0.185  -0.335174  -0.345768  4.47997  17.0682  -0.160997
-0.18  -0.312983  -0.323158  4.56329  16.2503  -0.16267
-0.175  -0.290499  -0.300142  4.64238  15.3776  -0.164228
-0.17  -0.26774  -0.276742  4.71698  14.4525  -0.165671
-0.165  -0.244721  -0.25298  4.78682  13.478  -0.166995
-0.16  -0.22146  -0.228882  4.85168  12.4575  -0.1682
-0.155  -0.197974  -0.204472  4.91133  11.3945  -0.169283
-0.15  -0.17428  -0.179777  4.96556  10.2931  -0.170244
-0.145  -0.150398  -0.154826  5.0142  9.15738  -0.171081
-0.14  -0.126344  -0.129645  5.05709  7.99186  -0.171792
-0.135  -0.102137  -0.104265  5.09408  6.80117  -0.172377
-0.13  -0.077795  -0.0787143  5.12506  5.59017  -0.172834
-0.125  -0.0533372  -0.0530242  5.14995  4.36382  -0.173164
-0.12  -0.0287821  -0.027225  5.16868  3.12722  -0.173364
-0.115  -0.00414843  -0.00134764  5.18122  1.88551  -0.173436
-0.11  0.0205447  0.0245768  5.18754  0.643873  -0.173378
-0.105  0.0452784  0.0505174  5.18766  -0.592511  -0.17319
-0.1  0.0700334  0.0764432  5.18163  -1.81851  -0.172873
-0.095  0.0947905  0.102324  5.16951  -3.02908  -0.172426
-0.09  0.119531  0.128128  5.15138  -4.2193  -0.17185
-0.085  0.144234  0.153828  5.12735  -5.38437  -0.171145
-0.08  0.168883  0.179392  5.09758  -6.51973  -0.170311
-0.075  0.193456  0.204794  5.06221  -7.62101  -0.169351
-0.07  0.217936  0.230005  5.02143  -8.68412  -0.168264
-0.065  0.242303  0.255  4.97544  -9.70524  -0.167051
-0.06  0.266538  0.279751  4.92446  -10.6809  -0.165714
-0.055  0.290621  0.304236  4.86871  -11.6079  -0.164254
-0.05  0.314535  0.328431  4.80846  -12.4836  -0.162672
-0.045  0.33826  0.352314  4.74397  -13.3055  -0.16097
-0.04  0.361778  0.375864  4.6755  -14.0716  -0.15915
-0.035  0.385071  0.399063  4.60335  -14.7806  -0.157212
-0.03  0.40812  0.421892  4.52779  -15.4312  -0.15516
-0.025  0.430907  0.444336  4.44913  -16.0229  -0.152994
-0.02  0.453415  0.466379  4.36766  -16.5555  -0.150717
-0.015  0.475625  0.488008  4.28368  -17.0295  -0.148331
-0.01  0.497521  0.509212  4.19747  -17.4455  -0.145838
-0.005  0.519086  0.529979  4.10932  -17.805  -0.14324
0  0.540302  0.550302  4.01951  -18.1096  -0.140539
0.005  0.561154  0.570172  3.92831  -18.3617  -0.137737
0.01  0.581625  0.589583  3.83597  -18.5639  -0.134838
0.015  0.601699  0.60853  3.74275  -18.7195  -0.131842
0.02  0.621361  0.62701  3.64885  -18.8318  -0.128753
0.025  0.640596  0.645018  3.55449  -18.9051  -0.125573
0.03  0.659389  0.662554  3.45986  -18.9435  -0.122304
0.035  0.677726  0.679617  3.36511  -18.9519  -0.118948
0.04  0.695593  0.696205  3.27038  -18.9352  -0.115508
0.045  0.712976  0.712321  3.17579  -18.8987  -0.111987
0.05  0.729862  0.727963  3.08142  -18.8479  -0.108386
0.055  0.746239  0.743135  2.98732  -18.7885  -0.104708
0.06  0.762094  0.757837  2.89354  -18.7264  -0.100955
0.065  0.777415  0.772071  2.80005  -18.6674  -0.0971305
0.07  0.792193  0.785838  2.70685  -18.6175  -0.0932355
0.075  0.806414  0.79914  2.61386  -18.5824  -0.0892729
0.08  0.82007  0.811977  2.52099  -18.5679  -0.0852449
0.085  0.833151  0.82435  2.42813  -18.5795  -0.0811539
0.09  0.845647  0.836258  2.33514  -18.6224  -0.0770022
0.095  0.85755  0.847701  2.24185  -18.7015  -0.0727921
0.1  0.86885  0.858676  2.14806  -18.8212  -0.0685259
0.105  0.879542  0.86918  2.05356  -18.9854  -0.0642061
0.11  0.889617  0.87921  1.95813  -19.1973  -0.0598349
0.115  0.89907  0.888759  1.8615  -19.4594  -0.0554148
0.12  0.907893  0.897822  1.76344  -19.7735  -0.0509481
0.125  0.916081  0.906391  1.66368  -20.1405  -0.0464374
0.13  0.923631  0.914456  1.56195  -20.5602  -0.0418851
0.135  0.930536  0.922007  1.45799  -21.0316  -0.0372937
0.14  0.936794  0.929032  1.35155  -21.5525  -0.0326659
0.145  0.942401  0.935518  1.24239  -22.1196  -0.0280043
0.15  0.947355  0.941451  1.13029  -22.7285  -0.0233116
0.155  0.951654  0.946815  1.01505  -23.3734  -0.0185907
0.16  0.955295  0.951596  0.896504  -24.0478  -0.0138444
0.165  0.958279  0.955775  0.774532  -24.7437  -0.00907576
0.17  0.960605  0.959335  0.649046  -25.4521  -0.00428772
0.175  0.962272  0.962259  0.520007  -26.1632  0.000516534
0.18  0.963283  0.964529  0.387428  -26.866  0.00533378
