# z  my_erf(z)  std::erf(z)  |diff|
-4 -1 -1 2.91464e-09
-3.9 -1 -1 6.02343e-09
-3.8 -1 -1 1.21044e-08
-3.7 -1 -1 2.36137e-08
-3.6 -1 -1 4.46221e-08
-3.5 -0.999999 -0.999999 8.14283e-08
-3.4 -0.999999 -0.999998 1.42864e-07
-3.3 -0.999997 -0.999997 2.39377e-07
-3.2 -0.999994 -0.999994 3.78868e-07
-3.1 -0.999988 -0.999988 1.11816e-07
-3 -0.999978 -0.999978 3.27278e-09
-2.9 -0.999959 -0.999959 9.81812e-09
-2.8 -0.999925 -0.999925 2.6234e-08
-2.7 -0.999866 -0.999866 1.07818e-07
-2.6 -0.999764 -0.999764 2.29155e-07
-2.5 -0.999594 -0.999593 4.66104e-07
-2.4 -0.999312 -0.999311 9.33081e-07
-2.3 -0.998859 -0.998857 1.82564e-06
-2.2 -0.998141 -0.998137 3.65463e-06
-2.1 -0.997021 -0.997021 1.90032e-08
-2 -0.995322 -0.995322 4.1565e-08
-1.9 -0.992791 -0.99279 7.92138e-08
-1.8 -0.989091 -0.989091 8.87275e-08
-1.7 -0.983791 -0.98379 1.5484e-07
-1.6 -0.976348 -0.976348 1.86165e-08
-1.5 -0.966105 -0.966105 2.07098e-07
-1.4 -0.952285 -0.952285 2.46335e-08
-1.3 -0.934008 -0.934008 2.61066e-08
-1.2 -0.910314 -0.910314 4.39325e-08
-1.1 -0.880205 -0.880205 1.06934e-07
-1 -0.842701 -0.842701 1.2429e-09
-0.9 -0.796908 -0.796908 1.52633e-09
-0.8 -0.742101 -0.742101 9.19133e-10
-0.7 -0.677801 -0.677801 1.15458e-10
-0.6 -0.603856 -0.603856 6.65379e-11
-0.5 -0.5205 -0.5205 1.31069e-10
-0.4 -0.428392 -0.428392 2.69305e-10
-0.3 -0.328627 -0.328627 7.21165e-11
-0.2 -0.222703 -0.222703 1.65419e-10
-0.1 -0.112463 -0.112463 8.69798e-11
0 0 0 0
0.1 0.112463 0.112463 8.69798e-11
0.2 0.222703 0.222703 1.65419e-10
0.3 0.328627 0.328627 7.21165e-11
0.4 0.428392 0.428392 2.69305e-10
0.5 0.5205 0.5205 1.31069e-10
0.6 0.603856 0.603856 6.65379e-11
0.7 0.677801 0.677801 1.15458e-10
0.8 0.742101 0.742101 9.19133e-10
0.9 0.796908 0.796908 1.52633e-09
1 0.842701 0.842701 1.2429e-09
1.1 0.880205 0.880205 1.06934e-07
1.2 0.910314 0.910314 4.39325e-08
1.3 0.934008 0.934008 2.61066e-08
1.4 0.952285 0.952285 2.46335e-08
1.5 0.966105 0.966105 2.07098e-07
1.6 0.976348 0.976348 1.86165e-08
1.7 0.983791 0.98379 1.5484e-07
1.8 0.989091 0.989091 8.87275e-08
1.9 0.992791 0.99279 7.92138e-08
2 0.995322 0.995322 4.1565e-08
2.1 0.997021 0.997021 1.90032e-08
2.2 0.998141 0.998137 3.65463e-06
2.3 0.998859 0.998857 1.82564e-06
2.4 0.999312 0.999311 9.33081e-07
2.5 0.999594 0.999593 4.66104e-07
2.6 0.999764 0.999764 2.29155e-07
2.7 0.999866 0.999866 1.07818e-07
2.8 0.999925 0.999925 2.6234e-08
2.9 0.999959 0.999959 9.81812e-09
3 0.999978 0.999978 3.27278e-09
3.1 0.999988 0.999988 1.11816e-07
3.2 0.999994 0.999994 3.78868e-07
3.3 0.999997 0.999997 2.39377e-07
3.4 0.999999 0.999998 1.42864e-07
3.5 0.999999 0.999999 8.14283e-08
3.6 1 1 4.46221e-08
3.7 1 1 2.36137e-08
3.8 1 1 1.21044e-08
3.9 1 1 6.02343e-09
4 1 1 2.91464e-09
