# E  signal  error  fit
101 -0.25 2 0.01581002581
103 -0.3 2 0.0186768489
105 -0.15 1.9 0.0223997049
107 -1.71 1.9 0.02735628443
109 0.81 1.9 0.03415778589
111 0.65 1.9 0.04384592527
113 -0.91 1.9 0.05831456509
115 0.91 1.9 0.08130334893
117 0.96 1.6 0.1210527418
119 -2.52 1.6 0.1987237339
121 -1.01 1.6 0.3826484369
123 2.01 1.6 0.9953991753
125 4.83 1.6 4.857125436
127 4.58 1.6 4.605155802
129 1.26 1.3 0.9630046605
131 1.01 1.3 0.3745754578
133 -1.26 1.3 0.1956577533
135 0.45 1.3 0.1195851043
137 0.15 1.3 0.08049242394
139 -0.91 1.3 0.05782079023
141 -0.81 1.1 0.04352347067
143 -1.41 1.1 0.03393580207
145 1.36 1.1 0.02719704267
147 0.5 1.1 0.02228163662
149 -0.45 1.1 0.01858690678
151 1.61 1.1 0.0157399448
153 -2.21 1.1 0.01350002463
155 -1.86 0.9 0.01170613975
157 1.76 0.9 0.01024731069
159 -0.5 0.9 0.009045033864
